1	토이 스토리 	Toy Story	1995	미국	장편	애니메이션,코미디,판타지	존 래스터	픽사 애니메이션 스튜디오	19951223	0
2	쥬만지 	Jumanji	1995	미국	장편	어드벤처,판타지,가족,액션	조 존스톤	트라이스타 픽쳐스	19960120	0
3	그럼피어 올드 맨	Grumpier Old Men	1995	미국	장편	코미디	하워드 더치	null		0
6	K-3000	Caged Heat 3000	1995				null	null		0
7	사브리나 	Sabrina	1995	미국,독일	장편	드라마,코미디	시드니 폴락	파라마운트 픽쳐스	19960203	0
8	톰과 허크	Tom And Huck	1995				null	null		0
9	써든 데쓰 	SUDDEN DEATH	1995				null	null		0
10	007 골든 아이 	Golden Eye	1995	영국,미국	장편	액션	마틴 캠벨	이온 프로덕션	19951216	0
11	대통령의 연인	The American President	1995	미국	장편	멜로/로맨스,코미디	롭 라이너	유니버셜 픽쳐스	19951223	0
13	발토	Balto	1995				null	null		0
14	닉슨 	Nixon	1995	미국	장편	드라마	올리버 스톤	씨너지 픽쳐스	19960217	0
15	컷스로트 아일랜드 	The Legend Of Cutthroat Island	1995	미국,프랑스,이탈리아,독일	장편	액션	레니 할린	null	19951230	0
16	카지노 	Casino	1995	미국,프랑스	장편	드라마,범죄	마틴 스콜세지	유니버셜 픽쳐스	19960316	0
18	포 룸 	Four Rooms	1995	미국	장편	코미디,드라마	쿠엔틴 타란티노, 앨리슨 앤더스, 로버트 로드리게즈, 알렉상드르 록웰	미라맥스 필름즈	19960413	0
19	짐 캐리의 에이스 벤츄라 2 	Ace Ventura: When Nature Calls	1995	미국	장편	코미디,드라마,어드벤처	스티브 오덱크	모건 크릭 프로덕션즈	19951230	0
20	머니 트레인 	Money Train	1995	미국	장편	액션	조셉 루벤	콜럼비아 픽쳐스 코포레이션	19951223	0
21	겟 쇼티 	Get Shorty	1995	미국	장편	코미디,드라마,범죄,스릴러	베리 소넨필드	저지필름	19960309	0
25	라스베가스를 떠나며 	Leaving Las Vegas	1995	미국,영국,프랑스	장편	멜로/로맨스,드라마	마이크 피기스	루미에르 프로덕션즈	19960301	0
26	오델로 	Othello	1995	미국,영국	장편	드라마,멜로/로맨스	올리버 파커	null		0
27	나우 앤 덴 	Now And Then	1995	미국	장편	드라마	레슬리 링카 글래터	뉴라인 시네마	19960330	0
28	설득	Persuasion	1995	영국,프랑스	장편	드라마,멜로/로맨스	로저 미첼	null		0
31	위험한 아이들 	Dangerous Minds	1995	미국	장편	드라마	존 N. 스미스	할리우드픽처스	19950930	0
34	꼬마 돼지 베이브 	Babe	1995	호주,미국	장편	가족,드라마,코미디	크리스 누난	케네디 밀러 프로덕션즈	19960113	0
35	캐링턴 	Carrington	1995	영국	장편	드라마	크리스토퍼 햄튼	폴리그램 필름드 엔터테인먼트	19971129	0
